NAME,ADDRESS,STATUS,Maximum Mints
Babel,0x2c8c0Fd7890208fe6704AaF6245089f8d26A41db,Private,5
nkrZw ︻デ 一,0x5a9309979376AB44300fE345AD0Dea6122C68Faa,Private,5
RuffJ,0x47B9bAf80a66d4140f2BB7CA15885A19AB027643,Private,5
Johan,0xBF5B9dE5869E2550fA245CC08059d3D1eC98b571,Private,5
Matt,0xe078818A1384CB4DEb3c13404847A6b14A826cDB,Private,5
Waqas.iqbal,0xbfAA229fBb622aCDeA5Ff079C5f537a350728966,Private,5
dutz,0x5f0baF3E5bACBCffAD0CDD623956a7359bF942B5,Private,5
Fruch2,0x1A68368De913336AC04b0122981217881D55403F,Private,5
MHOW,0x788111b91c8673aF1E5F0911eeb6F372C5108194,Private,5
The Real Sa,0xE2e98343129E0ABC6B856Aae01FFf10C7E9D9245,Private,5
RedBaron,0x7221dCAcdaB745ebC827578DeE7c46ebc41ae7Eb,Private,5
Derning,0x0b2dB5bF7C222115D2061ecDB82BF457C7740272,Private,5
CryptoBlagh,0x19384726Ad4c89C36Af0079303Cb782D5F4316f5,Private,5
zzMethod,0x7aDa33DBd0D2e32F1FfAa5aC2fE13Ea55a7220BF,Private,5
Daveman0,0x3c69604356720779e784a4099Bef05A6662A7e76,Private,5
lifeiscrazy,0x67912B734A2F6Aa135752b197378b6B0Ff1034Ed,Private,5
ManuBox_T,0x2174c18e2B4B52a547e3A00f1847bad743BD95f8,Private,5
CryptoSara ,0x7A9d07D46daf754250Ef517a41e362548652A752,Private,5
Fabrice,0xcE420B5096375e85d1C89c90A7c0Fc29eB25a93A,Private,5
Cryptowitch,0xAf73D36c7Cbc75f07F957cf4ae387Cf3B710aC46,Private,5
Gian ,0x012ee90231e54c7c4e0abc0d154b759c2efa7617,Private,5
Kaz,0xd9B75cFE90ed078b1F25510feec977Ec60418cA2,Private,5
SilverTeeth,0xFD0E3FfF04f729d6cEEc8a4A2FAf42D41C84C8EB,Private,5
TM_TradeMark,0xF413497a5f682dE8De3266D089Ee4C844fddA435,Private,5
JCR,0x14376614Aed7e8abaF298e9E1f5316c3837DcE1d,Private,5
Anomaly24,0x4f029902D8967B1B84db66D7c5a003C046BA28a7,Private,5
nolan,0x0B49DeFFF5Ba33103CFb0F8EcC2B569550935867,Private,5
LC,0x40e37Ff01aE0bfbCACC5ae9CC86774b60557242d,Private,5
D160x,0x10251AB51742Af5850F4BF981A58804EDdD6Db49,Private,5
dUkey,0xF69CA85604cd2718FA01264aa4d6F05ed557C24F,Private,5
hilalkan,0xFE1EfF107f111F5Ca1FEF749AA567063b05e4BE3,Private,5
giovaJPS,0x2046D01f49D5E9a83c0F85876d965959F40035E3,Private,5
BiasedGod,0x9c70216da13A44e08a6894067275cCb5F3796E89,Private,5
Coindropper,0xa6C442Cb5EdD7832633e57059A93A5fE05EE876A,Private,5
Linux,0xdfAa74c31A4454FA44216F2F3FfCff1B5023d016,Private,5
until00,0xd9FAa844F119773603e3eE1bebf635a3476AD29b,Private,5
astropark,0xD378fE77958D9E3AAD52B052850828889ebDA290,Private,5
SalBrooks,0x4191d47137AF24229840D8CC01e1Ad6f2c3952c7,Private,5
DDDRRIFT,0x62657e2819e9fb802e2812ce43d3b8180d796943,Private,5
Nicky H,0x2a943c4527d9729cbd170a0323c13b8e4da08ecf,Private,5
CrypThor,0xe6aF127259Bf7f1b0539FC0a955494f48E31240b,Private,5
Regular.Eye,0xAA2F5de212A80cBA97DE945c97E169d1D74eb9CD,Private,5
raarli,0xba42e85fa335dfcca423a4c7e113d5fb5e0921f1,Private,5
amaroxx,0x798f89Ce3cF5083fc2c0115161F6d5084aBbB46c,Private,5
OldDipBuyer,0x62E9cf5586c7dFDe1ae7CE22a7901b8CE1131867,Private,5
lb,0x15ce9f2f01d2cbf2683a15696732c1e042204517,Private,5
DinusView,0x5cD3B917F1f57Ee30a7d118Ea6aB84581E631b6b,Private,5
Mumy,0x4F05A6bD9B6b4D5941B3D997dFbeF54F8468E067,Private,5
Harveman,0xd8fac88ef12583c8ae88cae0bad44512d30eb6b1,Private,5
StefanZ,0xe344E899a0CfED333A66c1a15B9c42C17830ba46,Private,5
Ruminer,0xC015083388b1b043a28c1886B5c617d33B3020eE,Private,5
Jazmire,0xb6Ea318A03dC76cC4a66D30b63EDEAA6548fbdbd,Private,5
Genso,0x2699946412C2E27147A450f9f18C3e2Af2889aF6,Private,5